,Data,Positivi,Positivi (previsione scenario 1),Positivi (previsione scenario 2),Ospedalizzati,Ospedalizzati (previsione scenario 1),Ospedalizzati (previsione scenario 2),Terapia Intensiva,Terapia Intensiva (previsione scenario 1),Terapia Intensiva (previsione scenario 2),Decessi giornalieri,Decessi giornalieri (previsione scenario 1),Decessi giornalieri (previsione scenario 2)
57,2020-12-02,725160.0,543653.8073555472,543653.8073555472,36070.0,35599.36455715842,35599.36455715842,3616.0,3683.0691448322336,3683.0691448322336,741.1428571428571,675.788925574474,675.788925574474
58,2020-12-03,724613.0,534165.8739851272,534165.8739851272,35369.0,35170.14173697371,35170.14173697371,3597.0,3651.078160238934,3651.078160238934,739.2857142857143,670.256865066629,670.256865066629
59,2020-12-04,722935.0,524630.7283414674,524630.7283414674,34767.0,34721.408033968975,34721.408033968975,3567.0,3615.945373913972,3615.945373913972,735.8571428571429,664.1176585321882,664.1176585321882
60,2020-12-05,720494.0,515061.0355607427,515061.0355607427,33675.0,34255.48205483812,34255.48205483812,3517.0,3578.0055032084424,3578.0055032084424,739.1428571428571,657.4352896289856,657.4352896289856
61,2020-12-06,721461.0,505469.0333654723,505469.0333654723,33845.0,33774.46916912377,33774.46916912377,3454.0,3537.5642506031977,3537.5642506031977,718.5714285714286,650.2682491162122,650.2682491162122
62,2020-12-07,714913.0,495866.51603122207,495866.51603122207,33906.0,33280.28691272567,33280.28691272567,3382.0,3494.9006056449725,3494.9006056449725,697.0,642.6699305778311,642.6699305778311
63,2020-12-08,704099.0,486264.82108259073,486264.82108259073,33426.0,32774.68681434003,32774.68681434003,3345.0,3450.2691536779207,3450.2691536779207,670.5714285714286,634.6890601846462,634.6890601846462
64,2020-12-09,677542.0,476674.81858459016,476674.81858459016,32973.0,32259.273184647278,32259.273184647278,3320.0,3403.90231538888,3403.90231538888,655.4285714285714,626.3701084257555,626.3701084257555
65,2020-12-10,664148.0,467106.90292240155,467106.90292240155,32379.0,31735.519281770095,31735.519281770095,3291.0,3356.012461723151,3356.012461723151,,617.7536866370574,617.7536866370574
66,2020-12-11,,457570.9870175,457570.9870175,,31204.781168071364,31204.781168071364,,3306.7938685389136,3306.7938685389136,,608.8769282826397,608.8769282826397
