,Data,Positivi,Positivi (previsione scenario 1),Positivi (previsione scenario 2),Ospedalizzati,Ospedalizzati (previsione scenario 1),Ospedalizzati (previsione scenario 2),Terapia Intensiva,Terapia Intensiva (previsione scenario 1),Terapia Intensiva (previsione scenario 2),Decessi giornalieri,Decessi giornalieri (previsione scenario 1),Decessi giornalieri (previsione scenario 2)
136,2021-02-19,,39429.37405302531,90272.51427929482,,3016.3407804714975,6905.832839500536,,338.6047242787739,775.2266055856143,,62.84794716455367,143.88872113989925
137,2021-02-20,,37848.53772798687,87810.61807542242,,2896.9442977529934,6721.064658930253,,325.28582535380895,754.680394280351,,60.37795402909781,140.08006067574223
138,2021-02-21,,36326.33497917431,85410.71253816587,,2781.866345943147,6540.7420519896505,,312.4426397763919,734.6171449970394,,57.99603072826623,136.36064061310853
139,2021-02-22,,34860.78911280973,83071.51505772388,,2670.9689431430716,6364.785262347698,,300.0603892174121,715.0288841838467,,55.69945131918544,132.72900375248386
140,2021-02-23,,33449.97933496108,80791.75336640874,,2564.1174827152536,6193.114357159247,,288.1246265528222,695.9075679581828,,53.485550997033755,129.1836805502127
141,2021-02-24,,32092.03986769411,78570.16657263042,,2461.1807201555453,6025.649349346335,,276.6212369945133,677.2450974693257,,51.35172587065492,125.72319092470686
142,2021-02-25,,30785.159025794117,76405.50610580102,,2362.0307536259793,5862.310310531331,,265.5364391084698,659.0333349460909,,49.29543230802633,122.34604508760854
143,2021-02-26,,29527.57825251475,74296.53655942179,,2266.5429977440745,5703.017472523417,,254.85678428003743,641.26411684527,,47.31418691542013,119.05074597986867
144,2021-02-27,,28317.591138031115,72242.03648281803,,2174.5961564916015,5547.6913310495975,,244.56915579752697,623.9292667789184,,45.40556785297021,115.8357952612706
145,2021-02-28,,27153.54240335744,70240.79907209969,,2086.072188863132,5396.252735323139,,234.66076742412602,607.0206078417494,,43.56721372707977,112.69969347191513
146,2021-03-01,,26033.826868664528,68291.63280040986,,2000.8562705912839,5248.622970681484,,225.11916127025577,590.5299737669028,,41.79682282124273,109.64094102383963
147,2021-03-02,,24956.88839933072,66393.36196425172,,1918.8367534730498,5104.723837570325,,215.93220521428336,574.4492194353629,,40.09215371502749,106.6580428992752
