,date,variable,Germany,Israel,Italy,Spain,United Kingdom,United States
112,10-01-2021,Vaccinazioni giornaliere,52514.0,89921.0,77634.0,46759.0,182960.0,546636.0
113,10-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0627,1.0389,0.1284,0.1,0.2695,0.1634
114,10-01-2021,Totale vaccinazioni,650983.0,1896698.0,665678.0,,2677971.0,
115,10-01-2021,Totale vaccinazioni ogni cento abitanti,0.78,21.91,1.1,,3.94,
116,11-01-2021,Vaccinazioni giornaliere,54907.0,75578.0,79434.0,46180.0,180515.0,632009.0
117,11-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0655,0.8732,0.1314,0.0988,0.2659,0.189
118,11-01-2021,Totale vaccinazioni,716627.0,1936056.0,745932.0,406091.0,2843815.0,8987322.0
119,11-01-2021,Totale vaccinazioni ogni cento abitanti,0.86,22.37,1.23,0.87,4.19,2.69
120,12-01-2021,Vaccinazioni giornaliere,59153.0,66407.0,79656.0,49826.0,186339.0,641524.0
121,12-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0706,0.7672,0.1317,0.1066,0.2745,0.1918
122,12-01-2021,Totale vaccinazioni,798485.0,1994860.0,826300.0,488122.0,3067541.0,9327138.0
123,12-01-2021,Totale vaccinazioni ogni cento abitanti,0.95,23.05,1.37,1.04,4.52,2.79
124,13-01-2021,Vaccinazioni giornaliere,64834.0,67290.0,83596.0,58330.0,201443.0,710238.0
125,13-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0774,0.7774,0.1383,0.1248,0.2967,0.2124
126,13-01-2021,Totale vaccinazioni,896659.0,2101823.0,918605.0,581638.0,3356229.0,10278462.0
127,13-01-2021,Totale vaccinazioni ogni cento abitanti,1.07,24.28,1.52,1.24,4.94,3.07
128,14-01-2021,Vaccinazioni giornaliere,70819.0,68618.0,83650.0,66980.0,221298.0,747082.0
129,14-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0845,0.7928,0.1384,0.1433,0.326,0.2234
130,14-01-2021,Totale vaccinazioni,997037.0,2224866.0,1010115.0,676186.0,3678180.0,11148991.0
131,14-01-2021,Totale vaccinazioni ogni cento abitanti,1.19,25.7,1.67,1.45,5.42,3.33
132,15-01-2021,Vaccinazioni giornaliere,75512.0,68642.0,82606.0,70139.0,242056.0,798707.0
133,15-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0901,0.793,0.1366,0.15,0.3566,0.2388
134,15-01-2021,Totale vaccinazioni,1089844.0,2290377.0,1097433.0,768950.0,4006440.0,12279180.0
135,15-01-2021,Totale vaccinazioni ogni cento abitanti,1.3,26.46,1.82,1.64,5.9,3.67
136,16-01-2021,Vaccinazioni giornaliere,75558.0,70166.0,79314.0,70181.0,255974.0,811670.0
137,16-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0902,0.8106,0.1312,0.1501,0.3771,0.2427
138,16-01-2021,Totale vaccinazioni,1146650.0,2345004.0,1160806.0,,4286830.0,
139,16-01-2021,Totale vaccinazioni ogni cento abitanti,1.37,27.09,1.92,,6.31,
140,17-01-2021,Vaccinazioni giornaliere,77214.0,85564.0,75854.0,70223.0,262404.0,824632.0
141,17-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0922,0.9885,0.1255,0.1502,0.3865,0.2466
142,17-01-2021,Totale vaccinazioni,1191479.0,2495648.0,1196653.0,,4514802.0,
143,17-01-2021,Totale vaccinazioni ogni cento abitanti,1.42,28.83,1.98,,6.65,
144,18-01-2021,Vaccinazioni giornaliere,78427.0,106650.0,70304.0,70264.0,268518.0,837595.0
145,18-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0936,1.2322,0.1163,0.1503,0.3955,0.2504
146,18-01-2021,Totale vaccinazioni,1265619.0,2682608.0,1238061.0,897942.0,4723443.0,
147,18-01-2021,Totale vaccinazioni ogni cento abitanti,1.51,30.99,2.05,1.92,6.96,
148,19-01-2021,Vaccinazioni giornaliere,80148.0,127871.0,63345.0,68282.0,286118.0,911493.0
149,19-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0957,1.4773,0.1048,0.146,0.4215,0.2725
150,19-01-2021,Totale vaccinazioni,1359519.0,2889959.0,1269717.0,966097.0,5070365.0,15707588.0
151,19-01-2021,Totale vaccinazioni ogni cento abitanti,1.62,33.39,2.1,2.07,7.47,4.7
152,20-01-2021,Vaccinazioni giornaliere,84391.0,143689.0,54334.0,63471.0,297294.0,892403.0
153,20-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1007,1.6601,0.0899,0.1358,0.4379,0.2668
154,20-01-2021,Totale vaccinazioni,1487398.0,3107647.0,1298946.0,1025937.0,5437284.0,16525281.0
155,20-01-2021,Totale vaccinazioni ogni cento abitanti,1.78,35.9,2.15,2.19,8.01,4.94
156,21-01-2021,Vaccinazioni giornaliere,83504.0,159117.0,46158.0,61016.0,310246.0,913912.0
157,21-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0997,1.8383,0.0763,0.1305,0.457,0.2733
158,21-01-2021,Totale vaccinazioni,1581563.0,3338686.0,1333219.0,1103301.0,5849899.0,17546374.0
159,21-01-2021,Totale vaccinazioni ogni cento abitanti,1.89,38.57,2.21,2.36,8.62,5.25
160,22-01-2021,Vaccinazioni giornaliere,86505.0,165184.0,37340.0,56696.0,331933.0,975540.0
161,22-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1032,1.9084,0.0618,0.1213,0.489,0.2917
162,22-01-2021,Totale vaccinazioni,1695376.0,3446662.0,1358810.0,1165825.0,6329968.0,19107959.0
163,22-01-2021,Totale vaccinazioni ogni cento abitanti,2.02,39.82,2.25,2.49,9.32,5.71
164,23-01-2021,Vaccinazioni giornaliere,91366.0,170640.0,33747.0,55680.0,362307.0,1057387.0
165,23-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.109,1.9715,0.0558,0.1191,0.5337,0.3162
166,23-01-2021,Totale vaccinazioni,1786215.0,3539485.0,1397035.0,,6822981.0,20537990.0
167,23-01-2021,Totale vaccinazioni ogni cento abitanti,2.13,40.89,2.31,,10.05,6.14
168,24-01-2021,Vaccinazioni giornaliere,94330.0,178738.0,33417.0,54664.0,361321.0,1122182.0
169,24-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1126,2.065,0.0553,0.1169,0.5322,0.3355
170,24-01-2021,Totale vaccinazioni,1851790.0,3746812.0,1430572.0,1237593.0,7044048.0,21848655.0
171,24-01-2021,Totale vaccinazioni ogni cento abitanti,2.21,43.29,2.37,2.65,10.38,6.53
172,25-01-2021,Vaccinazioni giornaliere,97492.0,183111.0,37219.0,56182.0,371761.0,1126251.0
173,25-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1164,2.1155,0.0616,0.1202,0.5476,0.3368
174,25-01-2021,Totale vaccinazioni,1948061.0,3964383.0,1498595.0,1291216.0,7325773.0,22734243.0
175,25-01-2021,Totale vaccinazioni ogni cento abitanti,2.33,45.8,2.48,2.76,10.79,6.8
176,26-01-2021,Vaccinazioni giornaliere,98555.0,182329.0,44013.0,55766.0,366883.0,1119058.0
