Data,Ricoverati in ospedale / 8,Terapia intensiva,Deceduti x 5
209,323.375,222,69.28571428571429
210,338.375,232,71.42857142857143
211,355.375,239,75.0
212,362.75,244,80.71428571428571
213,372.125,246,87.85714285714286
214,372.625,244,95.0
215,374.125,247,90.0
216,387.5,254,91.42857142857142
217,405.125,264,90.71428571428571
218,414.875,271,97.85714285714286
219,415.875,280,97.14285714285714
220,423.5,291,97.85714285714286
221,429.5,294,100.0
222,437.75,297,107.14285714285714
223,448.75,303,107.85714285714286
224,476.25,323,107.85714285714286
225,493.0,319,110.71428571428571
226,514.875,337,119.28571428571429
227,535.375,358,117.85714285714286
228,559.125,387,121.42857142857142
229,590.75,390,122.85714285714286
230,617.375,420,128.57142857142858
231,659.125,452,145.0
232,698.75,514,154.28571428571428
233,751.125,539,162.85714285714283
234,797.75,586,206.42857142857142
235,852.0,638,225.71428571428572
236,915.25,705,238.57142857142858
237,985.125,750,269.2857142857143
238,1059.125,797,293.57142857142856
239,1165.5,870,327.85714285714283
240,1247.875,926,387.85714285714283
241,1335.75,992,425.71428571428567
242,1449.75,1049,451.42857142857144
243,1551.875,1128,525.7142857142857
244,1651.75,1208,567.8571428571429
245,1785.125,1284,616.4285714285714
246,1920.75,1411,710.7142857142857
247,2064.625,1536,766.4285714285713
248,2201.875,1651,824.2857142857143
249,2342.5,1746,901.4285714285713
250,2476.125,1843,1005.7142857142857
251,2605.125,1939,1062.857142857143
252,2732.75,2022,1128.5714285714287
253,2917.375,2225,1222.857142857143
254,3051.0,2292,1315.7142857142858
255,3205.875,2391,1478.5714285714287
256,3315.0,2515,1655.0
257,3467.875,2634,1746.4285714285713
258,3648.625,2749,1834.2857142857142
259,3810.625,2849,1922.1428571428573
260,3950.5,2971,2084.285714285714
261,4065.625,3081,2290.0
262,4130.375,3170,2426.4285714285716
263,4268.0,3230,2500.714285714286
264,4338.0,3306,2585.7142857142853
265,4433.625,3422,2739.2857142857147
266,4503.5,3492,2845.0
267,4585.75,3612,2952.8571428571427
268,4646.75,3670,3045.7142857142853
269,4665.25,3712,3057.8571428571427
270,4713.125,3748,3164.2857142857147
271,4727.625,3758,3270.0
272,4760.0,3801,3281.4285714285716
273,4813.375,3810,3371.4285714285716
274,4799.125,3816,3458.5714285714284
275,4770.125,3848,3436.4285714285716
276,4735.5,3846,3557.1428571428573
277,4683.25,3782,3648.5714285714284
278,4632.625,3762,3644.2857142857147
279,4579.0,3753,3629.2857142857147
280,4616.375,3744,3659.2857142857147
281,4559.25,3663,3610.7142857142853
