,date,variable,Germany,Israel,Italy,Spain,United Kingdom,United States
304,01-02-2021,Totale vaccinazioni,2652345.0,5072553.0,2121121.0,1673054.0,10143511.0,32222402.0
305,01-02-2021,Totale vaccinazioni ogni cento abitanti,3.16,57.71,3.51,3.58,14.87,9.58
310,02-02-2021,Totale vaccinazioni,2784847.0,5173408.0,2209358.0,1764778.0,10520433.0,32780860.0
311,02-02-2021,Totale vaccinazioni ogni cento abitanti,3.32,58.86,3.66,3.78,15.42,9.75
316,03-02-2021,Totale vaccinazioni,2947344.0,5284797.0,2309288.0,1865342.0,10992444.0,33878254.0
317,03-02-2021,Totale vaccinazioni ogni cento abitanti,3.51,60.12,3.83,3.99,16.12,10.07
322,04-02-2021,Totale vaccinazioni,3081591.0,5415166.0,2417730.0,1988160.0,11477040.0,35203710.0
323,04-02-2021,Totale vaccinazioni ogni cento abitanti,3.67,61.61,4.01,4.25,16.83,10.47
328,05-02-2021,Totale vaccinazioni,3228936.0,5477625.0,2525217.0,,11975267.0,36819212.0
329,05-02-2021,Totale vaccinazioni ogni cento abitanti,3.85,62.32,4.18,,17.56,10.95
334,06-02-2021,Totale vaccinazioni,3322948.0,5521311.0,2602981.0,,12526737.0,39037964.0
335,06-02-2021,Totale vaccinazioni ogni cento abitanti,3.96,62.82,4.31,,18.37,11.61
340,07-02-2021,Totale vaccinazioni,3376427.0,5643839.0,2645226.0,2105033.0,12806587.0,41210937.0
341,07-02-2021,Totale vaccinazioni ogni cento abitanti,4.02,64.21,4.38,4.5,18.78,12.25
346,08-02-2021,Totale vaccinazioni,3485514.0,5767570.0,2712105.0,2167241.0,13162878.0,42417617.0
347,08-02-2021,Totale vaccinazioni ogni cento abitanti,4.15,65.62,4.49,4.64,19.3,12.61
352,09-02-2021,Totale vaccinazioni,3619834.0,5901070.0,2779069.0,2233249.0,13577851.0,43206190.0
353,09-02-2021,Totale vaccinazioni ogni cento abitanti,4.31,67.14,4.6,4.78,19.91,12.85
358,10-02-2021,Totale vaccinazioni,3774691.0,6043472.0,2852096.0,2320507.0,14033555.0,44769970.0
359,10-02-2021,Totale vaccinazioni ogni cento abitanti,4.5,68.76,4.72,4.96,20.57,13.31
364,11-02-2021,Totale vaccinazioni,3918800.0,6196279.0,2926992.0,2423045.0,14542318.0,46390270.0
365,11-02-2021,Totale vaccinazioni ogni cento abitanti,4.67,70.49,4.85,5.18,21.32,13.79
370,12-02-2021,Totale vaccinazioni,4074617.0,6272661.0,3001208.0,,15091696.0,48410558.0
371,12-02-2021,Totale vaccinazioni ogni cento abitanti,4.86,71.36,4.97,,22.13,14.39
376,13-02-2021,Totale vaccinazioni,4182150.0,6330409.0,3053930.0,,15599904.0,50641884.0
377,13-02-2021,Totale vaccinazioni ogni cento abitanti,4.98,72.02,5.06,,22.87,15.06
382,14-02-2021,Totale vaccinazioni,4247406.0,6474064.0,3083863.0,2561608.0,15839781.0,52884356.0
383,14-02-2021,Totale vaccinazioni ogni cento abitanti,5.06,73.65,5.11,5.48,23.22,15.72
388,15-02-2021,Totale vaccinazioni,4373131.0,6630919.0,3146654.0,2624512.0,16122272.0,
389,15-02-2021,Totale vaccinazioni ogni cento abitanti,5.21,75.44,5.21,5.61,23.64,
394,16-02-2021,Totale vaccinazioni,4507685.0,6792316.0,3217823.0,2690457.0,16499549.0,55220364.0
395,16-02-2021,Totale vaccinazioni ogni cento abitanti,5.37,77.28,5.33,5.76,24.19,16.42
400,17-02-2021,Totale vaccinazioni,4658933.0,6929509.0,3298327.0,2782751.0,16996806.0,56281827.0
401,17-02-2021,Totale vaccinazioni ogni cento abitanti,5.55,78.84,5.46,5.95,24.92,16.73
406,18-02-2021,Totale vaccinazioni,4803447.0,7078023.0,3388583.0,2936011.0,17465127.0,57737767.0
407,18-02-2021,Totale vaccinazioni ogni cento abitanti,5.73,80.53,5.61,6.28,25.61,17.17
412,19-02-2021,Totale vaccinazioni,4962376.0,7155594.0,3481627.0,,17852327.0,59585043.0
413,19-02-2021,Totale vaccinazioni ogni cento abitanti,5.91,81.41,5.77,,26.17,17.72
418,20-02-2021,Totale vaccinazioni,5074673.0,7215836.0,3560059.0,,18197269.0,61289500.0
419,20-02-2021,Totale vaccinazioni ogni cento abitanti,6.05,82.09,5.9,,26.68,18.22
424,21-02-2021,Totale vaccinazioni,5160703.0,7373529.0,3611152.0,3090351.0,18348165.0,63090634.0
425,21-02-2021,Totale vaccinazioni ogni cento abitanti,6.15,83.89,5.98,6.61,26.9,18.76
430,22-02-2021,Totale vaccinazioni,5316585.0,7538827.0,3717008.0,3165191.0,18558969.0,64177474.0
431,22-02-2021,Totale vaccinazioni ogni cento abitanti,6.34,85.77,6.16,6.77,27.21,19.08
436,23-02-2021,Totale vaccinazioni,5487105.0,7686281.0,3823806.0,3284678.0,18911978.0,65032083.0
437,23-02-2021,Totale vaccinazioni ogni cento abitanti,6.54,87.45,6.33,7.03,27.73,19.34
442,24-02-2021,Totale vaccinazioni,5663406.0,7810079.0,3946162.0,3436158.0,19392553.0,66464947.0
443,24-02-2021,Totale vaccinazioni ogni cento abitanti,6.75,88.85,6.54,7.35,28.43,19.76
448,25-02-2021,Totale vaccinazioni,5852879.0,7926215.0,4074945.0,3605635.0,19913592.0,68274117.0
449,25-02-2021,Totale vaccinazioni ogni cento abitanti,6.98,90.18,6.75,7.71,29.2,20.3
454,26-02-2021,Totale vaccinazioni,6066479.0,7983883.0,4213623.0,,20450858.0,70454064.0
455,26-02-2021,Totale vaccinazioni ogni cento abitanti,7.23,90.83,6.98,,29.98,20.95
460,27-02-2021,Totale vaccinazioni,6214495.0,8023279.0,4340631.0,,20885683.0,72806180.0
461,27-02-2021,Totale vaccinazioni ogni cento abitanti,7.41,91.28,7.19,,30.62,21.65
466,28-02-2021,Totale vaccinazioni,6317729.0,8119204.0,4419071.0,3829465.0,21091267.0,75236003.0
467,28-02-2021,Totale vaccinazioni ogni cento abitanti,7.53,92.37,7.32,8.19,30.92,22.37
