,date,variable,Germany,Israel,Italy,Spain,United Kingdom,United States
187,28-01-2021,Totale vaccinazioni ogni cento abitanti,2.71,53.63,2.94,3.15,12.33,7.83
190,29-01-2021,Totale vaccinazioni,2378392.0,4742817.0,1874396.0,,8859372.0,27884661.0
191,29-01-2021,Totale vaccinazioni ogni cento abitanti,2.84,54.8,3.1,,13.05,8.34
194,30-01-2021,Totale vaccinazioni,2466403.0,4819769.0,1964593.0,,9468382.0,29577902.0
195,30-01-2021,Totale vaccinazioni ogni cento abitanti,2.94,55.68,3.25,,13.95,8.84
198,31-01-2021,Totale vaccinazioni,2523272.0,4952293.0,2024146.0,1609261.0,9790576.0,31123299.0
199,31-01-2021,Totale vaccinazioni ogni cento abitanti,3.01,57.22,3.35,3.44,14.42,9.31
202,01-02-2021,Totale vaccinazioni,2642799.0,5069780.0,2109690.0,1673054.0,10143511.0,32222402.0
203,01-02-2021,Totale vaccinazioni ogni cento abitanti,3.15,58.57,3.49,3.58,14.94,9.63
206,02-02-2021,Totale vaccinazioni,2774808.0,5170594.0,2197550.0,1764778.0,10520433.0,32780860.0
207,02-02-2021,Totale vaccinazioni ogni cento abitanti,3.31,59.74,3.63,3.77,15.5,9.8
210,03-02-2021,Totale vaccinazioni,2935837.0,5281938.0,2297233.0,1865342.0,10992444.0,33878254.0
211,03-02-2021,Totale vaccinazioni ogni cento abitanti,3.5,61.02,3.8,3.99,16.19,10.13
214,04-02-2021,Totale vaccinazioni,3068959.0,5412248.0,2405160.0,1988160.0,11477040.0,35203710.0
215,04-02-2021,Totale vaccinazioni ogni cento abitanti,3.66,62.53,3.98,4.25,16.91,10.53
218,05-02-2021,Totale vaccinazioni,3215473.0,5474684.0,2512255.0,,11975267.0,36819212.0
219,05-02-2021,Totale vaccinazioni ogni cento abitanti,3.84,63.25,4.16,,17.64,11.01
222,06-02-2021,Totale vaccinazioni,3309137.0,5518359.0,2589723.0,,12526737.0,39037964.0
223,06-02-2021,Totale vaccinazioni ogni cento abitanti,3.95,63.76,4.28,,18.45,11.67
226,07-02-2021,Totale vaccinazioni,3362439.0,5640844.0,2631555.0,2105033.0,12806587.0,41210937.0
227,07-02-2021,Totale vaccinazioni ogni cento abitanti,4.01,65.17,4.35,4.5,18.86,12.32
230,08-02-2021,Totale vaccinazioni,3471281.0,5764526.0,2698228.0,2167241.0,13162878.0,42417617.0
231,08-02-2021,Totale vaccinazioni ogni cento abitanti,4.14,66.6,4.46,4.64,19.39,12.68
234,09-02-2021,Totale vaccinazioni,3605328.0,5897930.0,2764978.0,2233249.0,13577851.0,43206190.0
235,09-02-2021,Totale vaccinazioni ogni cento abitanti,4.3,68.14,4.57,4.78,20.0,12.92
238,10-02-2021,Totale vaccinazioni,3759491.0,6040220.0,2837732.0,2320507.0,14033555.0,44769970.0
239,10-02-2021,Totale vaccinazioni ogni cento abitanti,4.49,69.78,4.69,4.96,20.67,13.39
242,11-02-2021,Totale vaccinazioni,3903197.0,6192648.0,2912367.0,2423045.0,14542318.0,46390270.0
243,11-02-2021,Totale vaccinazioni ogni cento abitanti,4.66,71.55,4.82,5.18,21.42,13.87
246,12-02-2021,Totale vaccinazioni,4058276.0,6268996.0,2986329.0,,15091696.0,48410558.0
247,12-02-2021,Totale vaccinazioni ogni cento abitanti,4.84,72.43,4.94,,22.23,14.48
250,13-02-2021,Totale vaccinazioni,4165642.0,6326736.0,3038974.0,,15599904.0,50641884.0
251,13-02-2021,Totale vaccinazioni ogni cento abitanti,4.97,73.09,5.03,,22.98,15.14
254,14-02-2021,Totale vaccinazioni,4230850.0,6470339.0,3068844.0,2561608.0,15839781.0,52884356.0
255,14-02-2021,Totale vaccinazioni ogni cento abitanti,5.05,74.75,5.08,5.48,23.33,15.81
